feature,shap_value,absolute_shap_value
Feature_721,0.00035967797598459585,0.00035967797598459585
Feature_339,-0.000356896436869647,0.000356896436869647
Feature_487,0.000354053690813565,0.000354053690813565
Feature_715,0.00035362141758241703,0.00035362141758241703
Feature_525,0.0003526926919630569,0.0003526926919630569
Feature_743,0.00035227073545684106,0.00035227073545684106
Feature_597,-0.00035184038784791483,0.00035184038784791483
Feature_14,0.0003512658706733873,0.0003512658706733873
Feature_210,0.0003510377808068199,0.0003510377808068199
Feature_914,-0.00035084486516552717,0.00035084486516552717
Feature_216,0.0003487773482493139,0.0003487773482493139
Feature_668,0.00034708619970345465,0.00034708619970345465
Feature_155,0.000346674802308371,0.000346674802308371
Feature_59,0.0003455262862189556,0.0003455262862189556
Feature_241,0.0003428693977184594,0.0003428693977184594
Feature_949,0.0003363255413589172,0.0003363255413589172
Feature_887,-0.00033560274480805676,0.00033560274480805676
Feature_289,0.0003337259302452367,0.0003337259302452367
Feature_693,0.00032879797871657954,0.00032879797871657954
Feature_147,0.0003283286156693066,0.0003283286156693066
Feature_645,0.0003241402407502392,0.0003241402407502392
Feature_127,-0.00031897038836291357,0.00031897038836291357
Feature_654,-0.00031880892436106476,0.00031880892436106476
Feature_424,0.0003158645444727881,0.0003158645444727881
Feature_43,0.0003149636137862899,0.0003149636137862899
Feature_837,0.0003144305753448862,0.0003144305753448862
Feature_791,0.0003129526237034952,0.0003129526237034952
Feature_402,0.00031241346891874855,0.00031241346891874855
Feature_963,0.00030745490869776404,0.00030745490869776404
Feature_904,0.00030704846534717944,0.00030704846534717944
Feature_378,-0.0003058067444533208,0.0003058067444533208
Feature_388,0.0003010393036038295,0.0003010393036038295
Feature_141,0.0003000885946175913,0.0003000885946175913
Feature_356,0.0002998008073154779,0.0002998008073154779
Feature_364,-0.00029536394983097124,0.00029536394983097124
Feature_900,-0.00029298485661001907,0.00029298485661001907
Feature_242,0.000290771405580017,0.000290771405580017
Feature_80,-0.0002897223822503747,0.0002897223822503747
Feature_100,-0.00028820334543524953,0.00028820334543524953
Feature_805,-0.0002841114617103813,0.0002841114617103813
Feature_926,0.00028302756700213647,0.00028302756700213647
Feature_37,0.0002821671350568522,0.0002821671350568522
Feature_905,0.0002819478602879144,0.0002819478602879144
Feature_484,0.0002817235551628983,0.0002817235551628983
Feature_566,0.0002804144636388628,0.0002804144636388628
Feature_182,0.0002791430256888816,0.0002791430256888816
Feature_115,-0.00027806622835726104,0.00027806622835726104
Feature_159,0.00027691090260304916,0.00027691090260304916
Feature_996,0.00027423589232057567,0.00027423589232057567
Feature_441,0.00027260501106525227,0.00027260501106525227
Feature_448,0.00027025808372854954,0.00027025808372854954
Feature_118,0.0002698165534133068,0.0002698165534133068
