feature,importance
Feature_775,0.0006679085934307503
Feature_467,0.0006667511958853583
Feature_665,0.0006667459261962723
Feature_239,0.0006658119473161491
Feature_196,0.0006649353711746711
Feature_956,0.0006625637000883422
Feature_107,0.0006604086623879532
Feature_756,0.0006599938137082473
Feature_167,0.000658970156905008
Feature_231,0.0006586161473122533
Feature_772,0.000658114090919722
Feature_909,0.0006577958601117234
Feature_66,0.0006576682991762272
Feature_912,0.0006511080912150503
Feature_73,0.0006502037036889653
Feature_173,0.0006493193089058852
Feature_993,0.0006491356542601301
Feature_399,0.0006487557157287051
Feature_441,0.0006473469871623532
Feature_892,0.0006468536448483831
Feature_1014,0.0006456036030869673
Feature_1006,0.0006454470788254378
Feature_358,0.0006447101116947404
Feature_867,0.0006426706992861418
Feature_277,0.0006406715517130467
Feature_710,0.0006405428348975965
Feature_967,0.0006401350331171773
Feature_919,0.0006395266351302417
Feature_970,0.0006327826237456201
Feature_431,0.0006297379350981603
Feature_752,0.0006294557450749648
Feature_944,0.000627356514473784
Feature_253,0.0006259204445235203
Feature_150,0.0006255108908012443
Feature_698,0.0006229488284709681
Feature_438,0.0006227074195419666
Feature_381,0.0006214250318556453
Feature_911,0.000620749200270753
Feature_24,0.0006199832864956862
Feature_926,0.0006197424925479296
Feature_426,0.0006192070982144485
Feature_1013,0.0006190177860283149
Feature_769,0.0006180412873667968
Feature_639,0.000617676331380936
Feature_692,0.0006173052585483511
Feature_420,0.0006170562451040033
Feature_605,0.0006167579122551071
Feature_1008,0.0006144092330856561
Feature_186,0.0006130821787704737
Feature_84,0.000611648391972061
Feature_144,0.0006068894049289553
Feature_263,0.0006067883037319537
Feature_835,0.0006054607808840426
Feature_655,0.0006044885131430007
Feature_255,0.0006033993685830722
Feature_370,0.000601663040566911
Feature_991,0.0005995978468751491
Feature_123,0.0005992838994607425
Feature_53,0.0005982781311198897
Feature_404,0.0005970726138047862
Feature_764,0.0005960458843869189
Feature_202,0.0005941292070772228
Feature_1012,0.0005932852623806092
Feature_494,0.0005927397302536013
Feature_282,0.0005913619006619008
Feature_517,0.0005912841788717829
Feature_346,0.0005908067570140266
Feature_604,0.0005898610205344945
Feature_815,0.0005886415816717315
Feature_102,0.0005878898914337873
Feature_730,0.0005860465058355832
Feature_101,0.000584837228204547
Feature_743,0.0005837043356759546
Feature_318,0.0005829042281720205
Feature_410,0.0005824078528890262
Feature_744,0.0005802940158076505
Feature_906,0.0005802922682226142
Feature_532,0.0005752134568259158
Feature_684,0.0005744525288502667
Feature_618,0.0005733101343533912
Feature_528,0.0005715933421322101
Feature_709,0.0005701413322656218
Feature_680,0.0005692660841796898
Feature_155,0.0005691761080974394
Feature_520,0.0005690914505420532
Feature_948,0.0005684041278264743
Feature_519,0.0005649068078389922
Feature_347,0.0005563485952567832
Feature_735,0.000553666429412278
Feature_414,0.0005527711945082115
Feature_872,0.00054994731256255
Feature_157,0.000549672235365539
Feature_548,0.0005494152214905887
Feature_27,0.0005488813542368942
Feature_582,0.0005488475600240937
Feature_19,0.0005481489797056012
Feature_187,0.0005453685687710108
Feature_264,0.0005445660709913244
Feature_569,0.0005416858544981334
Feature_824,0.0005414982141354806
Feature_386,0.0005412961795579934
Feature_525,0.0005402984067773952
Feature_627,0.0005402416951402172
Feature_312,0.0005386232643976326
Feature_109,0.0005378414056500156
Feature_333,0.0005317695691366354
Feature_966,0.0005306992361436983
Feature_821,0.0005305951520581353
Feature_490,0.000527520209906474
Feature_886,0.0005268385257561269
Feature_770,0.0005260333750118428
Feature_316,0.0005254651001708583
Feature_69,0.0005233885986478331
Feature_297,0.0005223240559655906
Feature_50,0.0005174391964759772
Feature_466,0.0005146637537731092
Feature_938,0.0005133608711187134
Feature_875,0.0005132048572959094
Feature_637,0.0005128354522641064
Feature_482,0.000511854576938451
Feature_712,0.0005110995700905717
Feature_600,0.0005092128285107133
Feature_958,0.0005089329396146862
Feature_946,0.0005087142539119297
Feature_260,0.0005086452035274134
Feature_278,0.0005085217146921616
Feature_851,0.0005085155003897164
Feature_636,0.0005076804406479339
Feature_915,0.0005074141360371416
Feature_191,0.0005073944121822518
Feature_483,0.000507367362166842
Feature_603,0.0005070000122466666
Feature_598,0.0005049768226597343
Feature_788,0.0005042266990275355
Feature_293,0.0005041909270973438
Feature_543,0.0005033377686104352
Feature_130,0.0004999313811219221
Feature_299,0.0004989330629855413
Feature_590,0.0004976026055249068
Feature_375,0.0004949851187323463
Feature_294,0.0004943497427241588
Feature_907,0.0004943135609868088
Feature_913,0.0004939449875810455
Feature_216,0.0004883190869825246
Feature_630,0.0004877584580822613
Feature_796,0.00048773509250724936
Feature_55,0.0004853473995035739
Feature_847,0.00048162881760774535
Feature_596,0.00048150520945938573
Feature_615,0.000480440761737054
Feature_349,0.00047485442544291536
Feature_153,0.0004700294091486329
Feature_553,0.00046614226812121974
Feature_283,0.00046594811736964985
Feature_901,0.00046217928649869554
Feature_344,0.0004597779226572913
Feature_71,0.00045975349639012814
Feature_507,0.000457877869258349
Feature_631,0.000454220285402026
Feature_104,0.00045400914156721206
Feature_546,0.00045400485497692534
Feature_632,0.00045286231072860116
Feature_508,0.00045224740645656987
Feature_568,0.00045199182292600534
Feature_58,0.00044709243890194485
Feature_939,0.00044516865108182655
Feature_502,0.0004451024881499885
Feature_697,0.00043978452875740063
Feature_1022,0.00043940083797278616
Feature_859,0.00043773818067764517
Feature_401,0.00043694139398256884
Feature_523,0.0004362589611620648
Feature_670,0.0004359667200190481
Feature_903,0.0004356982008960508
Feature_359,0.0004351056363285885
Feature_304,0.0004342236998377394
Feature_363,0.00043098533388063196
