feature,mean_absolute_shap
Feature_15,0.00032405821531447963
Feature_778,0.0003205890251553031
Feature_467,0.0003191946342899587
Feature_760,0.0003159317361553334
Feature_499,0.00031325334386800427
Feature_597,0.0003122244378268731
Feature_491,0.00031078569757644566
Feature_912,0.0003074846682090878
Feature_672,0.0003061038026333629
Feature_673,0.00030573026154750044
Feature_552,0.00030565179911874117
Feature_678,0.00030295920216839536
Feature_752,0.00030218200250031735
Feature_59,0.0003020258228841245
Feature_579,0.00030189383483028614
Feature_448,0.00030162186574797815
Feature_394,0.000300918763290803
Feature_356,0.0003004814872062797
Feature_584,0.000297838945045574
Feature_756,0.0002975191875684601
Feature_297,0.00029649485879270385
Feature_40,0.0002954249009708323
Feature_839,0.00029492704427220884
Feature_701,0.000294846115735929
Feature_713,0.0002938367058487407
Feature_317,0.00029351738768468755
Feature_957,0.00029279993593748957
Feature_296,0.0002927807436754078
Feature_152,0.00029243083464663896
Feature_764,0.00028839968685590787
Feature_775,0.00028664658260852625
Feature_525,0.0002864600099754815
Feature_963,0.000284152557809338
Feature_891,0.00028403487749528874
Feature_424,0.00028389966291188576
Feature_437,0.0002812995842777433
Feature_241,0.00028067988273093657
Feature_392,0.0002793066530758665
Feature_453,0.000277283896088192
Feature_351,0.00027689392333854593
Feature_47,0.00027626693362162305
Feature_690,0.0002758520864266006
Feature_92,0.00027553891884965644
Feature_691,0.000275509448885594
Feature_347,0.0002754695071118396
Feature_904,0.0002751446571397863
Feature_117,0.0002745898032320552
Feature_189,0.0002733650231017352
Feature_325,0.0002723064558277728
Feature_996,0.00027055358829757606
Feature_833,0.0002691586460581177
Feature_596,0.0002675222968913206
Feature_693,0.00026735143851134056
Feature_441,0.0002673443556792562
Feature_233,0.0002662670295303453
Feature_346,0.0002659603468207678
Feature_143,0.00026561805748745465
Feature_478,0.00026432286085456325
Feature_976,0.00026077054079088106
Feature_277,0.0002598396705825447
Feature_926,0.00025702690513298326
Feature_354,0.00025661222416571244
Feature_310,0.0002539814437589576
Feature_782,0.0002529031706516761
Feature_800,0.00025277474182165585
Feature_984,0.0002518355580537331
Feature_109,0.000250841298447468
Feature_629,0.0002503668079388092
Feature_529,0.00024926028025175096
Feature_263,0.00024576765672256606
Feature_314,0.00024540476123638427
Feature_333,0.00024378298133894118
Feature_249,0.00024235699514728995
Feature_234,0.00024224917256952908
Feature_147,0.0002408457765066145
Feature_541,0.00023834446743268341
Feature_951,0.0002380859631512414
Feature_42,0.0002376624110486901
Feature_369,0.00023743450619393016
Feature_932,0.0002374001672117032
Feature_930,0.0002357637939385311
Feature_230,0.00023337941336217224
Feature_834,0.00023038811422193163
Feature_867,0.00022888411953035745
Feature_123,0.00022840674271569126
Feature_873,0.0002281384850815332
Feature_247,0.00022527474859511336
Feature_262,0.0002251716076365674
Feature_134,0.000224089498579244
Feature_919,0.00022393363864929794
Feature_172,0.00022161639947734807
Feature_418,0.0002213751230676503
Feature_395,0.00021952359795993182
Feature_266,0.00021849242083414364
Feature_475,0.00021802490029871268
Feature_631,0.00021780080104831832
Feature_202,0.0002176196738876364
Feature_503,0.00021748648834346384
Feature_730,0.0002173584620715262
Feature_312,0.00021735287518272347
Feature_828,0.00021660682059077702
Feature_119,0.00021545346080890433
Feature_344,0.00021531069046325268
Feature_417,0.00021431399498479325
Feature_316,0.00021149418159362298
Feature_611,0.00020962590812994162
Feature_590,0.00020936302856677447
Feature_416,0.00020920439574062747
Feature_509,0.00020914819909158934
Feature_60,0.0002086277743815018
Feature_603,0.00020851990932816867
Feature_743,0.00020733656214356542
Feature_804,0.0002030358176859892
Feature_532,0.00020125720574124103
Feature_716,0.0001995869073211071
Feature_907,0.00019886957874057986
Feature_892,0.0001976953273033432
Feature_242,0.00019739608656907043
Feature_432,0.00019645708527960015
Feature_289,0.00019496654262244413
Feature_827,0.00019441539340566154
Feature_252,0.00019418027886559545
Feature_6,0.00019405850415243534
Feature_237,0.0001932767495861205
Feature_179,0.00019304733809160553
Feature_278,0.00019043235147215404
Feature_95,0.00018952926982197357
Feature_569,0.00018747351470655097
Feature_501,0.00018727796588831385
Feature_380,0.0001872559666494396
Feature_50,0.00018631908063506596
Feature_205,0.00018550669908488543
Feature_940,0.0001844129920507285
Feature_1013,0.00018382743370790364
Feature_879,0.00018294428132149124
Feature_697,0.0001813069142317602
Feature_386,0.0001803522982953099
Feature_508,0.00017834994519485192
Feature_404,0.00017739314935704943
Feature_144,0.0001773404534828073
Feature_814,0.00017731030851960144
Feature_663,0.00017672717089843503
Feature_203,0.0001758319198626249
Feature_1016,0.00017465549959268283
Feature_381,0.000174605985622798
Feature_427,0.00017275693308966024
Feature_24,0.00017248154342518454
Feature_748,0.00017184361046482366
Feature_305,0.00017154203243555907
Feature_788,0.00017135292668054303
Feature_941,0.0001710482407712237
Feature_923,0.0001706204848525211
Feature_555,0.00017050897842318306
Feature_226,0.00017024538329970726
Feature_1024,0.00017000880309210514
Feature_370,0.00016727481423607453
Feature_372,0.00016608395139524647
Feature_946,0.00016570260196459795
Feature_19,0.0001652922212859722
Feature_791,0.00016363978270780426
Feature_82,0.0001632081079199138
Feature_601,0.00016260885055386864
